MASS_PLANET_OBS   MASS_PLANET_SIGMA RADIUS_PLANET RADIUS_PLANET_SIGMA PERIOD ENFRAC  H_OBS  H_SIGMA  K_OBS K_SIGMA
12.1 1.6 1.86 0.22  6.3558 2.e-05 -0.32  0.16 -0.03  0.32
 6.2 1.6 1.59 0.19 29.0264 1.e-05 -0.03  0.16 -0.41  0.31
12.7 5.3 1.88 0.23 25.8040 2.e-05  0.05  0.24  0.39  0.32
27.6 2.7 3.56 0.43  3.6642 5.e-02 -0.08  0.08  0.07  0.16
10.8 2.6 1.81 0.22  6.2732 1.e-05 -0.11  0.14  0.37  0.31
19.6 3.1 2.34 0.28 65.6923 2.e-03 -0.32  0.08 -0.29  0.21
 6.0 5.7 1.61 0.19  2.3098 2.e-04  0.06  0.18 -0.04  0.11
 7.8 1.3 1.69 0.20  3.7908 3.e-05  0.09  0.06  0.13  0.29
 1.3 3.7 1.37 0.16 36.8441 8.e-04 -0.07  0.07  0.08  0.34
27.2 6.0 2.21 0.27 28.6276 2.e-05 -0.40  0.25  0.11  0.36
14.3 4.6 1.93 0.23 20.8549 2.e-05  0.24  0.07  0.16  0.32
 9.1 1.3 1.75 0.21 93.7321 3.e-05  0.26  0.21 -0.06  0.28
17.2 2.6 2.03 0.24 17.4726 1.e-04  0.19  0.12 -0.21  0.36
17.3 2.7 2.01 0.24 29.0708 3.e-05  0.05  0.10 -0.20  0.21
10.3 4.7 2.04 0.24  1.6994 7.e-04 -0.40  0.20  0.04  0.32
26.9 5.0 2.67 0.32  5.4825 5.e-03  0.29  0.25  0.02  0.18
 3.2 3.7 1.58 0.19  6.1605 5.e-03 -0.05  0.22  0.11  0.35
 8.7 5.1 1.99 0.24 40.0862 1.e-03  0.22  0.23  0.07  0.36
 3.1 3.4 2.44 0.29 76.8305 2.e-02  0.31  0.20  0.17  0.11
 5.6 3.8 2.02 0.24 14.7165 4.e-03 -0.01  0.08 -0.04  0.35
29.3 2.5 2.25 0.27  9.3336 3.e-05  0.09  0.10  0.06  0.39
15.2 3.0 2.89 0.35  1.7121 2.e-02 -0.01  0.05  0.13  0.16
20.3 3.8 2.71 0.33 40.4339 1.e-02  0.12  0.21  0.29  0.34
 7.5 3.6 2.53 0.30 14.4850 2.e-02  0.20  0.24  0.25  0.25
 3.7 5.3 1.91 0.23  5.7343 7.e-03  0.21  0.15 -0.29  0.24
24.2 5.4 2.15 0.26  3.9198 1.e-05 -0.02  0.12  0.10  0.26
19.7 3.1 2.06 0.25  4.0940 1.e-05  0.20  0.18 -0.05  0.34
 8.7 2.9 1.73 0.21 42.4446 1.e-05  0.12  0.13 -0.10  0.34
 3.3 4.2 1.38 0.17  2.8969 2.e-05  0.02  0.18 -0.06  0.17
18.2 2.4 2.03 0.24 29.5195 2.e-05 -0.04  0.15 -0.13  0.34
 1.5 4.3 1.89 0.23 18.7641 3.e-02 -0.31  0.12  0.06  0.15
12.4 1.6 1.87 0.22  2.9283 1.e-05  0.02  0.22 -0.45  0.13
17.0 1.7 2.05 0.25  5.3700 2.e-04  0.22  0.24 -0.13  0.25
 1.7 4.4 1.06 0.13  2.3154 1.e-05 -0.11  0.22  0.22  0.18
 8.0 4.8 1.74 0.21 44.7799 2.e-04  0.00  0.07 -0.07  0.29
 8.9 1.1 2.07 0.25  6.4080 1.e-03 -0.03  0.23  0.19  0.17
18.2 2.3 2.03 0.24  3.7860 4.e-05 -0.36  0.13  0.15  0.39
 6.1 4.7 2.04 0.24  3.2839 9.e-02 -0.36  0.23  0.14  0.24
18.7 2.8 2.04 0.24 24.5468 1.e-05  0.06  0.11  0.36  0.26
 1.2 2.9 2.57 0.31 48.3663 2.e-02 -0.15  0.06 -0.31  0.35
 2.2 2.1 1.23 0.15  5.5900 1.e-05  0.00  0.17  0.00  0.18
17.2 5.3 2.00 0.24  5.4973 1.e-05 -0.21  0.24 -0.21  0.14
20.5 4.8 2.09 0.25 28.2061 7.e-05 -0.05  0.24  0.12  0.25
20.6 1.4 2.09 0.25  1.1505 1.e-05  0.12  0.13  0.27  0.37
12.1 2.9 2.82 0.34 57.6436 3.e-02  0.13  0.22 -0.24  0.31
 3.8 5.1 1.91 0.23 20.8797 3.e-03  0.06  0.11  0.01  0.23
 9.4 5.7 1.80 0.22  2.0909 1.e-04 -0.34  0.09 -0.04  0.32
 6.2 1.5 1.85 0.22  1.4302 5.e-02  0.03  0.20 -0.04  0.25
17.6 5.4 2.10 0.25 36.7402 5.e-04  0.16  0.24  0.19  0.40
 4.9 2.5 2.02 0.24 11.5019 4.e-03  0.12  0.07  0.09  0.33
 8.2 4.7 3.39 0.41 36.6804 6.e-02 -0.08  0.05  0.28  0.17
 8.3 5.2 1.79 0.21 69.1191 4.e-04  0.06  0.21 -0.29  0.18
 2.8 3.7 1.86 0.22 23.3115 4.e-03 -0.16  0.10  0.09  0.33
 2.5 2.9 1.35 0.16  5.8393 1.e-03  0.00  0.14  0.01  0.33
14.6 1.2 1.93 0.23 34.7409 1.e-05  0.01  0.20 -0.02  0.11
18.8 2.0 2.34 0.28  5.0432 2.e-03 -0.33  0.24  0.09  0.40
 2.9 4.2 1.35 0.16 86.2736 1.e-04 -0.17  0.12 -0.30  0.24
 4.4 2.0 1.55 0.19  1.5228 2.e-03  0.14  0.21 -0.19  0.40
10.8 3.7 1.81 0.22 46.6654 1.e-05  0.04  0.16 -0.13  0.12
11.6 4.4 1.84 0.22 19.6120 1.e-05 -0.12  0.22 -0.07  0.39
 1.4 5.9 1.09 0.13  7.3045 1.e-05 -0.14  0.15 -0.09  0.31
 2.0 1.4 2.40 0.29 29.0335 6.e-02  0.19  0.18  0.30  0.22
10.6 6.0 1.80 0.22 15.5068 1.e-05  0.02  0.13  0.04  0.27
 4.4 1.3 3.16 0.38 96.9030 6.e-02 -0.17  0.12  0.14  0.20
24.2 1.3 2.15 0.26 17.0478 2.e-05 -0.03  0.05  0.01  0.31
23.8 5.8 3.61 0.43 31.7328 6.e-02 -0.04  0.20 -0.12  0.10
 3.3 4.8 2.05 0.25  6.9989 5.e-02 -0.39  0.24  0.06  0.15
 4.1 2.8 1.44 0.17 73.8647 1.e-05 -0.05  0.10 -0.07  0.22
 6.6 4.6 1.14 0.14  1.3699 1.e-02 -0.01  0.17  0.32  0.31
12.3 5.6 2.15 0.26 85.5205 2.e-03  0.00  0.15  0.00  0.28
28.7 4.6 2.23 0.27  8.6463 3.e-05  0.17  0.09  0.14  0.38
12.9 1.5 2.16 0.26 10.7835 1.e-03  0.26  0.11  0.08  0.33
27.1 4.7 3.01 0.36 69.7795 2.e-02  0.15  0.09  0.23  0.39
23.0 5.1 2.35 0.28 85.0017 1.e-03  0.30  0.07  0.05  0.23
24.9 5.3 3.73 0.45  1.2103 9.e-02 -0.09  0.11 -0.05  0.14
 6.3 2.1 1.96 0.24 32.8477 2.e-03  0.17  0.21  0.16  0.34
 5.6 4.0 1.57 0.19  8.1167 5.e-05  0.26  0.09 -0.08  0.11
21.0 5.6 3.95 0.47  4.1164 9.e-02 -0.08  0.06  0.11  0.19
10.9 1.9 2.50 0.30  6.4468 1.e-02 -0.05  0.14 -0.22  0.38
17.6 3.0 2.04 0.24  3.6314 1.e-04  0.19  0.11  0.29  0.13
28.4 2.9 2.35 0.28 22.8650 4.e-04  0.00  0.15  0.00  0.19
20.0 5.7 2.38 0.29  3.7371 2.e-03  0.01  0.25  0.01  0.21
16.4 1.5 1.98 0.24 36.2372 2.e-05  0.00  0.19  0.34  0.10
 3.7 1.8 1.73 0.21 24.7867 1.e-03  0.26  0.12  0.26  0.33
 7.1 4.6 2.14 0.26 40.4048 6.e-03  0.02  0.22 -0.05  0.19
 2.5 5.9 1.81 0.22 21.3964 4.e-03  0.32  0.24 -0.17  0.30
23.2 5.1 3.55 0.43 12.6813 6.e-02  0.02  0.10  0.05  0.18
 4.9 3.0 1.96 0.24 21.9780 3.e-03 -0.15  0.16  0.23  0.11
26.4 4.9 3.11 0.37 12.8873 3.e-02  0.16  0.16  0.35  0.35
14.2 4.2 2.26 0.27 22.3346 3.e-03  0.00  0.19  0.10  0.13
29.1 3.4 2.90 0.35 77.8243 1.e-02  0.02  0.12  0.05  0.37
28.4 1.8 2.23 0.27  1.9829 3.e-05  0.23  0.22  0.28  0.33
 4.3 2.3 2.44 0.29  8.3376 2.e-02 -0.07  0.05  0.01  0.32
 1.8 5.3 1.17 0.14  4.1513 2.e-02 -0.38  0.20  0.24  0.17
20.9 2.1 2.17 0.26 61.1917 4.e-04  0.29  0.24 -0.08  0.25
 1.4 2.8 1.08 0.13  2.8795 1.e-05  0.13  0.25  0.05  0.26
 5.7 5.2 1.69 0.20 31.2553 5.e-04 -0.19  0.23  0.23  0.21
 5.8 4.2 1.91 0.23 52.5454 2.e-03 -0.07  0.12  0.22  0.39
25.9 3.2 2.18 0.26 12.0696 2.e-05  0.16  0.12  0.20  0.38
16.3 1.2 2.34 0.28  4.3636 3.e-03 -0.18  0.08 -0.04  0.19
12.3 4.3 2.08 0.25 90.2220 1.e-03  0.25  0.21  0.17  0.31
 8.6 4.8 3.22 0.39 55.7654 6.e-02 -0.31  0.16 -0.13  0.30
27.1 1.5 2.83 0.34  6.7284 1.e-02 -0.23  0.09  0.34  0.23
 7.2 4.6 1.65 0.20 71.4331 3.e-05  0.02  0.19 -0.01  0.23
26.9 1.9 2.59 0.31 27.7217 4.e-03 -0.03  0.07  0.03  0.16
 1.5 2.1 1.79 0.21  6.2225 4.e-03 -0.18  0.14  0.13  0.24
 5.6 3.3 1.76 0.21  1.1415 5.e-02  0.03  0.12  0.08  0.35
 2.0 4.0 1.20 0.14 12.2339 2.e-05  0.21  0.22 -0.08  0.40
17.4 3.5 2.00 0.24  8.6668 1.e-05 -0.37  0.21 -0.02  0.11
10.5 3.1 1.96 0.24  1.3129 4.e-04  0.14  0.18  0.05  0.23
 7.4 3.7 1.89 0.23 92.3180 1.e-03 -0.26  0.12  0.24  0.30
29.0 2.0 2.24 0.27 21.2024 2.e-05 -0.18  0.20 -0.32  0.23
 1.9 2.6 1.22 0.15  3.3294 1.e-04  0.04  0.19  0.43  0.33
16.3 5.8 2.42 0.29  3.8627 3.e-03 -0.03  0.17 -0.02  0.19
 1.0 2.0 1.59 0.19 18.4353 3.e-03  0.35  0.18  0.10  0.31
17.4 5.4 2.01 0.24 70.2077 1.e-05 -0.10  0.08 -0.10  0.36
 2.3 2.4 1.25 0.15  5.8629 1.e-05  0.19  0.10 -0.01  0.15
19.4 1.9 2.06 0.25 66.6486 1.e-05  0.00  0.18 -0.01  0.16
20.8 3.0 2.35 0.28 89.4560 2.e-03  0.19  0.10  0.31  0.29
 6.1 4.8 1.66 0.20  9.1006 3.e-04 -0.14  0.06 -0.22  0.39
 2.5 2.8 1.31 0.16  2.6618 9.e-04  0.26  0.12  0.04  0.15
20.0 2.8 3.72 0.45 26.6431 8.e-02  0.09  0.15  0.23  0.17
15.9 5.0 2.09 0.25 82.1755 6.e-04  0.39  0.05  0.12  0.36
 1.9 5.0 2.82 0.34 22.2795 6.e-02 -0.06  0.25 -0.28  0.32
19.4 2.4 2.22 0.27  1.8696 6.e-04 -0.08  0.12  0.05  0.16
19.9 2.0 2.19 0.26 20.3671 6.e-04  0.16  0.06  0.05  0.21
 9.3 4.6 1.77 0.21 58.0058 1.e-04 -0.08  0.08 -0.11  0.31
23.9 1.2 2.17 0.26  8.9434 1.e-04 -0.06  0.21  0.31  0.38
 3.0 3.9 1.44 0.17 85.1606 4.e-04 -0.09  0.05 -0.03  0.21
26.7 1.6 2.22 0.27 74.1865 1.e-04 -0.14  0.08 -0.04  0.40
27.8 1.3 2.59 0.31 14.6845 3.e-03  0.13  0.22  0.05  0.10
27.9 2.8 2.22 0.27 31.4895 1.e-05 -0.24  0.11  0.08  0.31
19.3 2.1 2.09 0.25 25.8768 2.e-04  0.01  0.14  0.03  0.27
 1.9 2.4 1.01 0.12  2.4647 4.e-05  0.18  0.08  0.25  0.39
 3.6 4.9 2.03 0.24 15.3116 6.e-03  0.00  0.12  0.15  0.20
 8.1 2.5 1.70 0.20 80.9167 2.e-05 -0.24  0.10  0.05  0.20
 1.5 4.9 1.32 0.16  4.8694 9.e-04 -0.34  0.13  0.06  0.32
 7.5 3.8 1.69 0.20 19.7479 9.e-05 -0.08  0.09 -0.44  0.23
 8.5 5.1 1.72 0.21  4.7816 1.e-05 -0.26  0.17 -0.03  0.21
16.3 1.4 2.00 0.24  3.0747 9.e-05  0.07  0.18  0.15  0.12
 6.5 3.1 2.86 0.34 46.4536 4.e-02  0.08  0.23 -0.03  0.35
29.4 2.7 2.55 0.31 76.2218 2.e-03  0.12  0.10 -0.07  0.19
24.9 5.9 2.19 0.26  2.1508 1.e-04  0.06  0.23 -0.26  0.27
 7.3 5.8 1.66 0.20  7.0261 5.e-05  0.22  0.07  0.27  0.38
16.1 2.8 2.35 0.28 71.9545 5.e-03  0.05  0.12  0.03  0.32
 6.6 5.9 1.61 0.19 92.2408 1.e-05 -0.03  0.12  0.03  0.37
27.2 5.7 2.20 0.26 20.4594 1.e-05  0.16  0.10  0.09  0.39
 1.9 1.3 1.18 0.14 21.2072 1.e-05  0.05  0.21 -0.34  0.21
 2.9 2.5 1.51 0.18 53.1805 7.e-04  0.29  0.24 -0.18  0.13
18.4 1.3 2.03 0.24  1.6432 2.e-05  0.03  0.21  0.29  0.33
29.5 2.4 2.54 0.30 55.0705 2.e-03  0.00  0.22 -0.02  0.34
 1.5 4.5 1.37 0.16  5.0006 6.e-04  0.05  0.15  0.04  0.39
 3.3 1.8 2.30 0.28 22.7877 1.e-02  0.01  0.18  0.26  0.27
 3.2 1.4 2.94 0.35  4.0544 4.e-02  0.36  0.19 -0.07  0.35
19.9 3.0 3.49 0.42  8.8404 6.e-02 -0.09  0.22  0.09  0.28
 3.9 2.8 1.43 0.17  2.1698 2.e-05 -0.09  0.23 -0.09  0.15
 8.8 2.6 1.82 0.22  8.8786 3.e-04  0.28  0.14  0.04  0.33
19.2 5.0 2.94 0.35  1.7499 2.e-02  0.09  0.06  0.10  0.19
12.0 5.3 1.85 0.22 78.5222 3.e-05  0.05  0.13 -0.13  0.23
 1.5 4.6 1.12 0.13  5.3242 4.e-05 -0.06  0.08  0.22  0.14
14.3 3.0 1.92 0.23  2.9253 1.e-05 -0.04  0.12 -0.37  0.23
20.8 2.2 3.07 0.37  3.0430 3.e-02 -0.38  0.18 -0.05  0.29
 4.3 4.3 1.55 0.19  2.3746 2.e-03  0.04  0.14 -0.08  0.26
10.6 5.5 1.84 0.22 21.5723 2.e-04  0.11  0.20  0.25  0.37
 8.4 2.9 2.04 0.24 29.3266 3.e-03  0.02  0.22  0.26  0.31
25.8 2.7 2.51 0.30 33.8604 3.e-03 -0.09  0.08  0.36  0.19
22.1 1.4 2.11 0.25 72.3514 1.e-05  0.09  0.24 -0.04  0.29
10.1 4.0 2.50 0.30 28.0479 2.e-02 -0.08  0.08  0.30  0.26
 1.9 5.6 1.07 0.13  1.9625 1.e-05 -0.04  0.05  0.10  0.24
 5.0 3.1 1.51 0.18 12.0826 1.e-05 -0.09  0.08 -0.28  0.26
 6.7 5.1 1.62 0.19  5.3568 3.e-05 -0.01  0.24 -0.35  0.14
17.7 3.1 2.01 0.24 31.7725 1.e-05  0.17  0.25  0.33  0.39
21.4 2.7 3.56 0.43 43.9749 6.e-02 -0.16  0.21  0.04  0.36
 2.7 5.7 1.31 0.16  9.3417 4.e-05 -0.11  0.21  0.00  0.23
22.9 5.1 2.51 0.30 54.2615 5.e-03  0.10  0.18 -0.02  0.18
 7.2 1.1 1.68 0.20  1.2160 8.e-05 -0.02  0.16  0.10  0.31
16.2 3.5 1.97 0.24 12.2772 1.e-05 -0.01  0.07  0.14  0.21
10.6 3.7 2.92 0.35 94.0641 4.e-02 -0.41  0.11 -0.02  0.35
15.2 3.9 1.95 0.23 57.7416 1.e-05 -0.01  0.20  0.02  0.26
15.3 4.4 1.96 0.24 18.7286 5.e-05 -0.28  0.06  0.01  0.28
 2.9 4.5 1.32 0.16 31.4420 1.e-05 -0.39  0.07  0.17  0.25
12.8 4.9 2.96 0.36 28.2516 4.e-02 -0.19  0.21  0.07  0.28
 6.2 2.7 1.60 0.19  2.6327 1.e-05  0.02  0.12  0.00  0.37
25.2 3.7 2.18 0.26 49.7242 8.e-05 -0.21  0.12  0.20  0.18
12.2 4.5 3.55 0.43 37.3035 8.e-02 -0.10  0.20  0.12  0.25
26.7 5.0 3.18 0.38  1.2069 2.e-02  0.12  0.24  0.05  0.34
11.4 1.4 1.86 0.22  4.9043 1.e-04 -0.12  0.21  0.24  0.40
 2.0 2.8 1.26 0.15  5.4605 1.e-04 -0.43  0.23  0.04  0.27
16.3 3.1 2.04 0.24 15.6399 3.e-04 -0.30  0.08  0.20  0.35
 5.4 5.8 2.68 0.32 45.2068 3.e-02 -0.02  0.17  0.35  0.17
 3.1 5.6 1.78 0.21 26.2469 2.e-03 -0.34  0.14 -0.26  0.32
 2.6 4.9 2.00 0.24 27.5737 8.e-03  0.01  0.05 -0.21  0.29
 2.3 5.7 2.89 0.35 16.8292 8.e-02 -0.15  0.22  0.00  0.18
16.9 1.3 1.99 0.24  2.7823 1.e-05 -0.01  0.08  0.36  0.34
 5.6 1.6 1.56 0.19 64.0341 2.e-05 -0.18  0.12  0.01  0.15
17.3 1.0 2.09 0.25 35.8706 4.e-04 -0.01  0.23  0.02  0.30
24.3 3.8 2.15 0.26 86.3237 2.e-05 -0.01  0.13  0.02  0.13
 9.1 3.1 2.73 0.33  9.9013 3.e-02 -0.04  0.20 -0.03  0.28
 1.0 2.5 1.79 0.21 19.1409 9.e-03  0.22  0.20 -0.21  0.35
23.6 1.2 2.14 0.26  6.5879 1.e-05 -0.17  0.07 -0.15  0.34
19.2 1.1 2.06 0.25  2.5642 4.e-05 -0.09  0.05  0.07  0.14
 6.9 5.3 1.47 0.18  1.4826 1.e-02 -0.19  0.19  0.17  0.18
29.7 1.0 2.25 0.27 35.0953 1.e-05 -0.36  0.21 -0.20  0.12
15.7 4.9 2.17 0.26 68.3798 1.e-03  0.07  0.10  0.28  0.26
28.9 1.3 2.41 0.29  6.1162 6.e-04  0.35  0.08 -0.04  0.25
12.1 3.9 1.99 0.24 15.1370 6.e-04  0.02  0.10  0.08  0.22
11.9 4.3 1.86 0.22  1.0746 5.e-05 -0.06  0.20  0.03  0.15
 8.9 4.7 1.74 0.21 36.2707 5.e-05  0.19  0.13  0.00  0.11
 2.4 3.6 1.74 0.21 10.8128 2.e-03  0.13  0.20 -0.05  0.27
 6.9 4.0 1.63 0.20  6.1463 1.e-05 -0.02  0.19  0.13  0.30
14.3 3.4 1.95 0.23 27.9587 1.e-04 -0.19  0.24  0.00  0.39
20.8 2.0 2.16 0.26  1.4718 2.e-04  0.22  0.12  0.37  0.14
13.9 2.0 1.94 0.23 32.6013 1.e-04 -0.23  0.14 -0.07  0.16
 2.6 2.4 1.13 0.14  2.5011 1.e-05  0.16  0.10 -0.08  0.19
10.0 4.0 2.33 0.28  5.2183 7.e-03  0.15  0.22  0.10  0.27
 3.2 3.0 1.51 0.18 76.3594 6.e-04  0.06  0.06 -0.10  0.12
29.2 5.6 2.24 0.27  7.3872 1.e-05  0.00  0.18  0.01  0.32
 3.4 4.3 1.78 0.21 11.4006 2.e-03 -0.10  0.25  0.11  0.34
 3.6 5.5 1.40 0.17  9.4538 1.e-05 -0.05  0.11  0.43  0.35
12.3 4.8 1.87 0.22 14.2069 2.e-05 -0.10  0.06  0.19  0.20
26.8 3.1 2.20 0.26 17.6426 1.e-05 -0.13  0.15  0.24  0.35
13.1 3.3 1.84 0.22  1.9092 6.e-03 -0.13  0.12 -0.13  0.27
 5.4 3.5 3.52 0.42  7.8236 7.e-02 -0.11  0.08  0.08  0.17
23.3 2.5 2.13 0.26  8.7420 1.e-05 -0.34  0.24 -0.01  0.27
23.3 4.5 2.13 0.26 13.0455 1.e-05  0.28  0.20  0.10  0.34
 4.1 3.5 1.45 0.17  6.9131 4.e-05  0.03  0.11 -0.01  0.38
18.5 1.5 2.16 0.26 61.2116 6.e-04 -0.04  0.14  0.22  0.34
24.0 3.2 2.15 0.26  4.4355 2.e-05  0.31  0.25  0.04  0.28
15.4 5.2 2.01 0.24 98.9965 3.e-04 -0.09  0.22  0.04  0.13
 6.7 1.3 1.63 0.20 11.9117 5.e-05  0.09  0.06 -0.16  0.38
29.4 5.2 2.25 0.27 86.2071 2.e-05  0.20  0.12 -0.31  0.35
 7.1 1.1 3.16 0.38 70.2506 6.e-02  0.15  0.14  0.04  0.32
27.8 4.8 2.57 0.31 26.7983 3.e-03  0.03  0.14 -0.01  0.25
11.3 3.2 2.07 0.25 34.8819 1.e-03  0.25  0.10  0.03  0.34
29.5 5.6 2.25 0.27  3.1197 2.e-05  0.01  0.17 -0.39  0.20
15.1 1.2 1.95 0.23  6.1152 2.e-05  0.30  0.12  0.24  0.28
 5.7 5.4 2.50 0.30  7.4664 2.e-02  0.04  0.09  0.11  0.32
 7.1 4.1 1.66 0.20 28.1633 9.e-05  0.14  0.20  0.27  0.19
 1.3 4.2 1.14 0.14 38.5313 2.e-04  0.11  0.22 -0.28  0.28
25.5 6.0 2.17 0.26 12.6624 1.e-05  0.05  0.10 -0.01  0.34
27.2 1.9 2.21 0.27  1.1283 3.e-05  0.14  0.08  0.00  0.28
 4.4 5.7 1.47 0.18 48.4595 1.e-05 -0.09  0.18 -0.39  0.11
 4.1 3.2 3.08 0.37 13.4940 4.e-02 -0.21  0.06 -0.01  0.38
 9.3 5.5 1.75 0.21 14.2317 3.e-05  0.07  0.18  0.38  0.13
 2.6 2.9 1.40 0.17 22.0236 3.e-04 -0.18  0.17  0.13  0.36
 3.3 1.3 1.37 0.16  3.5340 1.e-05  0.03  0.19 -0.10  0.22
29.2 6.0 2.25 0.27  1.2959 4.e-05 -0.30  0.12 -0.30  0.16
11.6 2.8 1.86 0.22 82.0878 1.e-04 -0.04  0.20 -0.09  0.22
 2.5 4.1 2.13 0.26 56.2091 1.e-02 -0.10  0.07 -0.38  0.12
 9.8 4.6 1.77 0.21  1.4945 1.e-05  0.08  0.20  0.10  0.11
21.9 5.0 3.68 0.44  2.4438 6.e-02  0.20  0.19 -0.32  0.19
 5.0 1.3 1.52 0.18 93.7827 2.e-05  0.26  0.20 -0.34  0.18
 1.7 3.3 1.52 0.18 10.5092 4.e-03 -0.35  0.22 -0.08  0.13
14.6 5.1 2.27 0.27 11.9159 2.e-03  0.02  0.24  0.01  0.16
 4.6 3.6 1.48 0.18 13.1371 2.e-05 -0.09  0.08 -0.15  0.38
 9.0 4.0 2.75 0.33 21.6609 3.e-02 -0.10  0.24  0.18  0.26
 2.9 4.3 1.33 0.16  4.0665 3.e-05  0.11  0.07 -0.18  0.32
 3.3 3.9 2.83 0.34 90.2129 4.e-02 -0.14  0.25 -0.01  0.22
20.6 1.3 2.11 0.25 15.1348 1.e-04 -0.03  0.15  0.25  0.35
25.5 5.3 2.27 0.27 82.3446 4.e-04 -0.05  0.06 -0.08  0.37
16.4 3.1 1.99 0.24  3.9909 4.e-05 -0.18  0.18  0.05  0.31
14.3 1.2 1.92 0.23 25.7683 1.e-05 -0.05  0.12  0.30  0.20
 1.8 1.7 2.37 0.28 18.8293 6.e-02  0.21  0.24  0.28  0.21
27.1 1.0 2.21 0.27 23.9264 6.e-05  0.02  0.22  0.19  0.31
11.8 1.9 1.86 0.22 47.6107 7.e-05  0.02  0.17 -0.04  0.40
 7.9 5.7 3.22 0.39  7.2007 5.e-02  0.40  0.12  0.02  0.38
29.7 1.8 3.31 0.40 16.7761 3.e-02 -0.39  0.23 -0.15  0.29
28.5 1.2 2.59 0.31 11.0252 2.e-03 -0.05  0.19  0.00  0.36
15.0 5.0 1.94 0.23 83.2807 2.e-05 -0.08  0.15  0.01  0.15
24.4 3.4 2.77 0.33 74.4682 1.e-02  0.18  0.14  0.15  0.20
11.5 1.7 1.91 0.23 20.5594 3.e-04 -0.29  0.17 -0.08  0.10
29.6 4.2 2.60 0.31  2.1034 1.e-03 -0.29  0.09  0.26  0.39
13.8 1.3 3.46 0.42  7.0371 6.e-02 -0.20  0.19  0.00  0.32
 6.2 4.6 2.56 0.31 22.1948 2.e-02 -0.27  0.14 -0.09  0.31
19.6 1.4 2.06 0.25 58.1786 1.e-05 -0.32  0.23  0.00  0.39
26.0 4.8 2.28 0.27 95.9078 4.e-04 -0.32  0.06 -0.27  0.29
10.4 2.2 1.80 0.22 26.6144 3.e-05  0.22  0.14 -0.34  0.25
22.7 4.8 2.75 0.33 34.9878 1.e-02 -0.02  0.15  0.19  0.25
 3.1 5.0 2.70 0.32 13.8465 5.e-02 -0.01  0.14  0.04  0.39
 5.3 1.9 1.86 0.22 14.7431 1.e-03  0.00  0.11  0.00  0.26
 4.9 3.1 1.51 0.18 93.4888 3.e-05 -0.08  0.15 -0.31  0.29
 6.0 5.3 1.61 0.19 21.4349 1.e-04  0.29  0.13 -0.01  0.22
 4.8 3.4 1.66 0.20  4.1228 5.e-02  0.04  0.15  0.34  0.18
 6.0 6.0 2.35 0.28 17.0329 1.e-02  0.20  0.16 -0.09  0.25
 6.3 5.5 1.62 0.19 98.7841 1.e-04 -0.37  0.05  0.17  0.29
14.7 5.6 1.93 0.23 77.7543 1.e-05 -0.02  0.21 -0.29  0.39
18.4 2.5 2.71 0.33 21.5509 2.e-02 -0.12  0.08  0.01  0.32
17.2 2.2 2.00 0.24 90.8145 1.e-05  0.08  0.12  0.08  0.35
 4.8 5.6 1.50 0.18 13.5750 1.e-05  0.10  0.08  0.14  0.16
 6.0 2.9 1.60 0.19 43.9383 8.e-05  0.01  0.25  0.02  0.26
 5.6 2.6 2.12 0.25 41.7672 7.e-03  0.01  0.21  0.10  0.26
 8.8 3.0 2.73 0.33  2.9392 2.e-02  0.32  0.13  0.02  0.12
22.5 2.8 2.16 0.26 20.5973 2.e-04 -0.11  0.05 -0.07  0.39
 9.7 6.0 1.77 0.21 13.5694 1.e-05  0.01  0.18  0.02  0.23
 2.9 5.7 1.81 0.22 27.2943 3.e-03 -0.24  0.05  0.29  0.14
 1.5 3.8 1.12 0.13  9.6980 1.e-05 -0.13  0.16  0.08  0.14
 4.3 5.9 1.47 0.18 18.7022 4.e-05  0.34  0.11  0.11  0.25
13.8 3.9 2.28 0.27  7.4013 3.e-03 -0.01  0.17  0.00  0.27
 2.0 5.8 1.80 0.22 10.6642 3.e-03 -0.11  0.23 -0.19  0.30
 3.9 2.3 2.14 0.26 18.2882 9.e-03 -0.03  0.13 -0.23  0.16
23.6 5.3 2.72 0.33 11.5239 9.e-03 -0.09  0.13 -0.12  0.31
15.1 1.4 1.94 0.23 46.5485 1.e-05 -0.07  0.06  0.11  0.29
 6.3 5.5 1.60 0.19  7.0055 1.e-05 -0.11  0.20  0.38  0.29
17.5 5.8 2.38 0.29 97.6831 5.e-03  0.35  0.16  0.25  0.19
 3.7 5.8 1.50 0.18  4.4734 2.e-04 -0.01  0.16 -0.03  0.12
 3.2 3.7 1.36 0.16  6.9990 1.e-05 -0.15  0.09 -0.07  0.22
21.6 3.5 2.10 0.25 56.4204 2.e-05 -0.09  0.12 -0.42  0.19
 6.8 4.7 1.88 0.23 40.2133 1.e-03  0.04  0.24 -0.25  0.16
17.3 2.2 2.57 0.31 33.8827 1.e-02 -0.11  0.24 -0.07  0.18
12.1 2.0 1.88 0.23 18.5361 1.e-04  0.41  0.25  0.13  0.11
15.5 2.1 2.10 0.25 90.9920 7.e-04 -0.18  0.15  0.22  0.17
11.6 2.1 1.84 0.22 19.5650 5.e-05 -0.03  0.21  0.05  0.18
22.2 4.6 2.45 0.29 17.5112 3.e-03 -0.20  0.10  0.30  0.20
